Company,Title,States,Date Issued,Recall Reason,Recall Status,Recall Classification
"Greater Omaha Packing Co., Inc.",FSIS Issues Public Health Alert for Ground Beef Products  Due to Possible E. Coli O157:H7 Contamination,Nationwide,2024-04-20,Product Contamination,Public Health Alert,Public Health Alert
,FSIS Issues Public Health Alert for Ineligible Frozen Siluriformes Products Imported from the People’s Republic of China ,,2024-03-21,Import Violation,Public Health Alert,Public Health Alert
Taylor Farm - Pacific,Taylor Farms Pacific Recalls Kroger Brand Ready-To-Eat Apple Walnut With Chicken Salad Bowl Products Due to Misbranding and Undeclared Allergen,"Alaska, Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming",2024-03-13,"Misbranding, Unreported Allergens",Active Recall,Class II
,"Jen&#039;s Breakfast Burritos, LLC, Recalls Ready to Eat Breakfast Burrito Products Due to Possible Listeria Contamination",Washington,2024-03-10,Product Contamination,Active Recall,Class I
,"Jen&#039;s Breakfast Burritos, LLC, Retira Del Mercado Productos De Burritos Para Desayuno Listos Para Consumir Debido A Una Posible Contaminación Por Listeria",Washington,2024-03-10,Product Contamination,Active Recall,Class I
"Salm Partners, LLC","Salm Partners, LLC, Recalls Johnsonville Polish Kielbasa Turkey Sausage Products Due to Possible Foreign Matter Contamination",Nationwide,2024-03-07,Product Contamination,Active Recall,Class I
"Salm Partners, LLC","Salm Partners, LLC, Retira Del Mercado Productos De Salchicha De Pavo Kielbasa Polaca De Johnsonville Debido A Una Posible Contaminación Por Materia Extraña",Nationwide,2024-03-07,Product Contamination,Active Recall,Class I
CJ Foods Manufacturing Beaumont Corporation,CJ Foods Manufacturing Beaumont Corporation Recalls Trader Joe’s Chicken Soup Dumplings Due to Possible Foreign Matter Contamination ,Nationwide,2024-03-02,Product Contamination,Closed Recall,Class I
CJ Foods Manufacturing Beaumont Corporation,CJ Foods Manufacturing Beaumont Corporation Retira Del Mercado Los Bollos De Sopa De Pollo De Trader Joe&#039;s Debido A Una Posible Contaminación Por Materia Extraña,Nationwide,2024-03-02,Product Contamination,Closed Recall,Class I
MF Meats,MF Meats Recalls Raw Meat Products Due to Contamination by a Non-Food Grade Substance,"New York, Ohio, Pennsylvania",2024-02-29,Product Contamination,Active Recall,Class I
MF Meats,MF Meats Retira Del Mercado Productos Cárnicos Crudos Debido A Contaminación Causada Por Una Sustancia No Apta Para Alimentos,"New York, Ohio, Pennsylvania",2024-02-29,Product Contamination,Active Recall,Class I
M&amp;P Production LTD,M&amp;P Production LTD Recalls Raw Lamb and Beef Samsa Products Due to Misbranding and an Undeclared Allergen,"Massachusetts, New Jersey, New York, Pennsylvania",2024-02-28,"Misbranding, Unreported Allergens",Closed Recall,Class II
M&amp;P Production LTD,M&amp;P Production Ltd Retira Del Mercado Productos De Samsa De Cordero Y Res Crudos Debido A Un Error De Rotulación Y Un Alérgeno No Declarado,"Massachusetts, New Jersey, New York, Pennsylvania",2024-02-28,"Misbranding, Unreported Allergens",Closed Recall,Class II
,FSIS Issues Public Health Alert for Nurture Life Ready-To-Eat Chicken Meal Product Due to Misbranding and an Undeclared Allergen,,2024-02-27,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
Don Novo &amp; Son,Don Novo &amp; Son Recalls Ready-To-Eat Meat Products Due to Possible Listeria Contamination,Florida,2024-02-15,Product Contamination,Closed Recall,Class I
"Fratelli Beretta USA, INC.","Fratelli Beretta USA, Inc. Recalls Ready-To-Eat Charcuterie Meat Products Due to Possible Under Processing ",Nationwide,2024-02-12,Processing Defect,Active Recall,Class I
SK Food Group,FSIS Issues Public Health Alert For Ready-To-Eat Poultry Products Containing FDA-Regulated Dairy Products That Have Been Recalled Due To Possible Listeria Monocytogenes Contamination,Nationwide,2024-02-09,Product Contamination,Public Health Alert,Public Health Alert
Mama Vicky&#039;s Inc.,  FSIS Issues Public Health Alert For Frozen Ready-To-Eat Chicken Pilaf Products Due to Possible Foreign Matter Contamination,Nationwide,2024-02-07,Product Contamination,Public Health Alert,Public Health Alert
Hormel Foods Corporation,Hormel Foods Recalls Ready-To-Eat Spiced Deli Ham Products Due to Misbranding and Undeclared Allergen,Pennsylvania,2024-02-03,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Macgregors Meat and Seafood Ltd Recalls Frozen Ready-To-Eat Pork Products Imported Without Benefit of Import Reinspection,"Indiana, Kentucky, Michigan, New York, Ohio, Pennsylvania",2024-02-02,Import Violation,Closed Recall,Class I
Vanee Foods Company,Vanee Foods Recalls Chicken Flavored Base Products Due to Misbranding and Undeclared Allergens,"Pennsylvania, Texas, Virginia",2024-02-01,"Misbranding, Unreported Allergens",Closed Recall,Class I
"Fratelli Beretta USA, INC.",FSIS Issues Public Health Alert for Ready-To-Eat Charcuterie Products Due to Possible Salmonella Contamination,Nationwide,2024-01-18,Product Contamination,Public Health Alert,Public Health Alert
"Dim Sum Factory, Inc.",FSIS Issues Public Health Alert for Raw Frozen Pork Dumpling Products Produced without Benefit of Inspection,Nationwide,2024-01-18,Produced Without Benefit of Inspection,Public Health Alert,Public Health Alert
"Salm Partners, LLC","Salm Partners, LLC Recalls Ready-to-Eat Turkey Kielbasa Products Due to Possible Extraneous Material Contamination",,2024-01-05,Product Contamination,Closed Recall,Class I
"Salm Partners, LLC","Salm Partners, LLC Retira Del Mercado Productos De Kielbasa De Pavo Listos Para Consumir Debido A Una Posible Contaminación Por Materiales Extraños",,2024-01-05,Product Contamination,Closed Recall,Class I
,FSIS Issues Public Health Alert For Frozen Mushroom Risotto Products Due To Misbranding And Undeclared Allergen,"California, Florida, Illinois, Maryland, Massachusetts, Michigan, New Jersey, New York, Pennsylvania, Texas, Wisconsin",2024-01-05,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
"Fratelli Beretta USA, Inc.","Fratelli Beretta USA, Inc. Recalls Busseto Foods Brand Ready-to-Eat Charcuterie Meat Products Due to Possible Salmonella Contamination",,2024-01-03,Product Contamination,Active Recall,Class I
"Fratelli Beretta USA, Inc.","Fratelli Beretta Usa, Inc. Retira Del Mercado Productos De Carne De Charcutería Listos Para Consumir De La Marca Busseto Foods Debido A Posible Contaminación Con Salmonella",,2024-01-03,Product Contamination,Active Recall,Class I
Valley Meats LLC,"Valley Meats, LLC, Recalls Ground Beef Products  Due to Possible E. Coli O157:H7 Contamination",,2023-12-31,Product Contamination,Closed Recall,Class I
Valley Meats LLC,"Valley Meats, LLC, Retira Productos De Carne De Res Molida  Debido A Una Posible Contaminación Con E. Coli O157:H7",,2023-12-31,Product Contamination,Closed Recall,Class I
Scanga Meat Company,Scanga Meat Company Recalls Ground Beef Products Due to Possible E. Coli O103 Contamination,Colorado,2023-12-22,Product Contamination,Closed Recall,Class I
"Simmons Prepared Foods, Inc.","Simmons Prepared Foods, Inc. Recalls Boneless Chicken Bites Products Due to Possible Foreign Matter Contamination",Nationwide,2023-12-15,Product Contamination,Closed Recall,Class I
"Simmons Prepared Foods, Inc.","Simmons Prepared Foods, Inc. Retira Productos De Bocaditos De Pollo Debido A Una Posible Contaminación Con Materia Extraña",Nationwide,2023-12-15,Product Contamination,Closed Recall,Class I
Fresh Foods of Washington LLC,FSIS Issues Public Health Alert for  Beef Soup Product due to  Misbranding and Undeclared Allergen,,2023-12-07,Misbranding,Public Health Alert,Public Health Alert
Wayne Farms LLC,"Wayne Farms, LLC, Recalls Ready-to-Eat Chicken Breast Products That May Be Undercooked",,2023-12-07,Processing Defect,Closed Recall,Class I
Wayne Farms LLC,"Wayne Farms, LLC, Retira Productos De Pechuga De Pollo Listos Para Consumir Que Pueden Estar Medio Crudos",,2023-12-07,Processing Defect,Closed Recall,Class I
Garland Ventures LTD,Garland Ventures Recalls Ready-to-Eat Chicken Fried Rice Products due to Possible Listeria Contamination,,2023-12-06,Product Contamination,Closed Recall,Class I
Garland Ventures LTD,Garland Ventures Retira Productos De Arros Con Pollo Frito Listos Para El Consumo Debido A Una Posible Contaminación Con Listeria,,2023-12-06,Product Contamination,Closed Recall,Class I
Pelleh Poultry Corp.,Pelleh Poultry Corp. Recalls Ready-To-Eat Beef and Poultry Products Due to Possible Listeria Contamination,"New Jersey, New York, Pennsylvania",2023-12-01,Product Contamination,Closed Recall,Class I
Pelleh Poultry Corp.,Pelleh Poultry Corp. Retira Productos De Carne Y Aves De Corral Listos Para El Consumo Debido A Una Posible Contaminación Con Listeria,"New Jersey, New York, Pennsylvania",2023-12-01,Product Contamination,Closed Recall,Class I
Skyline Provisions,"Skyline Provisions, Inc. Recalls Raw Ground Beef Products Due to Possible Foreign Matter Contamination","Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont, Wisconsin",2023-11-19,Product Contamination,Closed Recall,Class I
Skyline Provisions,"Skyline Provisions, Inc. Retira Productos De Carne Molida Cruda Debido A Una Posible Contaminación Con Materia Extraña","Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont, Wisconsin",2023-11-19,Product Contamination,Closed Recall,Class I
"Pruski&#039;s Market, Inc.",FSIS Issues Public Health Alert for Meat and Poultry Jerky Products Due to Misbranding and Undeclared Allergen,Texas,2023-11-17,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
,"JX Restaurant, Inc. Recalls Chicken Products Due to Misbranding and Undeclared Allergens",Wisconsin,2023-11-12,"Misbranding, Unreported Allergens",Closed Recall,Class II
,Lulu Restaurant Group Retira Productos De Pollo Debido A Un Error De Rotulación Y Alérgenos No Declarados,Wisconsin,2023-11-12,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Tyson Foods, Inc.",Tyson Foods Inc. Recalls Chicken Patty Product Due to Possible Foreign Matter Contamination,"Alabama, California, Illinois, Kentucky, Michigan, Ohio, Tennessee, Virginia, Wisconsin",2023-11-04,Product Contamination,Closed Recall,Class I
"Tyson Foods, Inc.",Tyson Foods Inc. Retira Producto De Torta De Pollo  Debido A Una Posible Contaminación Con Materia Extraña,"Alabama, California, Illinois, Kentucky, Michigan, Ohio, Tennessee, Virginia, Wisconsin",2023-11-04,Product Contamination,Closed Recall,Class I
"Fairmont Foods, Inc.","Fairmont Foods, Inc., Recalls Frozen Spaghetti Loops With Meat Sauce Entree Products Due to Misbranding and Undeclared Allergen","Georgia, Indiana, Texas",2023-11-02,"Misbranding, Unreported Allergens",Closed Recall,Class I
"Fairmont Foods, Inc.","Fairmont Foods, Inc., Retira Productos Congelados De Platos Preparados De Aros De Spaghetti Con Salsa De Carne Debido A Un Error De Rotulación Y Un Alérgeno No Declarado","Georgia, Indiana, Texas",2023-11-02,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Q&#039;Delicia Recalls Ready-To-Eat Empanada Products Produced Without Benefit of Inspection,Florida,2023-10-31,Produced Without Benefit of Inspection,Closed Recall,Class I
,Q’Delicia Retira Productos De Empanada Listos Para Consumir Producidos Sin El Beneficio De La Inspección,Florida,2023-10-31,Produced Without Benefit of Inspection,Closed Recall,Class I
,Olymel Recalls Ready-To-Eat Ham Products Imported Without the Benefit of Import Reinspection,California,2023-10-30,Import Violation,Active Recall,Class I
,Olymel Retira Productos De Jamón  Listos Para Consumir  Que Fueron Importados Sin El Beneficio De La Reinspección De Importación,California,2023-10-30,Import Violation,Active Recall,Class I
,"Capitology, LLC Recalls Ineligible Pork Chicharrones Products Imported from Honduras","Arkansas, Louisiana, North Carolina, South Carolina, Texas",2023-10-23,Import Violation,Active Recall,Class I
,"Capitology, Llc Retira Productos No Autorizados De Chicharrones De Cerdo Que Fueron Importados De Honduras","Arkansas, Louisiana, North Carolina, South Carolina, Texas",2023-10-23,Import Violation,Active Recall,Class I
,Del Valle Import and Export LLC Recalls Pork Chorizo Products Produced without Benefit of Inspection,,2023-10-20,Produced Without Benefit of Inspection,Closed Recall,Class I
