0,1,2,3
Alabama,AL,2,50
Alaska,AK,1,15
Arizona,AZ,1,92
Arkansas,AR,2,45
California,CA,3,332
Colorado,CO,1,88
Connecticut,CT,0,90
Delaware,DE,0,36
District of Columbia,DC,0,17
Florida,FL,2,164
Georgia,GA,2,122
Hawaii,HI,0,38
Idaho,ID,1,28
Illinois,IL,0,191
Indiana,IN,0,112
Iowa,IA,0,56
Kansas,KS,0,41
Kentucky,KY,0,61
Louisiana,LA,2,65
Maine,ME,0,36
Maryland,MD,0,131
Massachusetts,MA,0,115
Michigan,MI,0,94
Minnesota,MN,0,80
Mississippi,MS,0,40
Missouri,MO,0,77
Montana,MT,1,15
Nebraska,Ne,0,27
Nevada,NV,1,52
Missouri,MO,0,0
Montana,MT,0,0
Nebraska,NE,0,0
Nevada,NV,0,0
New Hampshire,NH,0,25
New Jersey,NJ,3,168
New Mexico,NM,1,38
New York,NY,5,232
North Carolina,NC,2,90
North Dakota,ND,0,14
Ohio,OH,2,138
Oklahoma,OK,0,61
Oregon,OR,1,99
Pennsylvania,PA,2,205
Puerto Rico,PR,0,27
Rhode Island,RI,2,36
South Carolina,SC,2,50
South Dakota,SD,0,17
Tennessee,TN,0,79
Texas,TX,4,265
Utah,UT,1,83
Vermont,VT,0,24
Virginia,VA,2,130
Washington,WA,3,150
West Virginia,WV,0,30
Wisconsin,WI,0,89
Wyoming,WY,1,20
Nationwide,USA,3,33
